policy,seed,mode,previous_success,success,arm_match,lifted,first_lifted_arm,wrong_arm_lifted_ever,first_wrong_arm_lift_action,lift_m,dist_cmd_tcp,dist_other_tcp,video
lingbot_va,500001,right,1,1,True,True,right,False,,0.0500105619430542,0.13257312263560067,0.39581710827593,lingbot_va/arm_select/arm_select_ep500001_1.mp4
lingbot_va,500002,left,0,0,True,False,,False,,1.1920928955078125e-07,0.1398804454511766,0.3527278628009841,lingbot_va/arm_select/arm_select_ep500002_0.mp4
lingbot_va,500003,right,1,1,True,True,right,False,,0.05004465579986572,0.13241973072137872,0.4251630914596591,lingbot_va/arm_select/arm_select_ep500003_1.mp4
lingbot_va,500004,left,1,1,True,True,left,False,,0.05005061626434326,0.13060568102414025,0.4385215911520107,lingbot_va/arm_select/arm_select_ep500004_1.mp4
lingbot_va,500005,right,1,1,True,True,right,False,,0.05013376474380493,0.13082162210853984,0.38470757273480105,lingbot_va/arm_select/arm_select_ep500005_1.mp4
lingbot_va,500006,left,1,1,True,True,left,False,,0.050127387046813965,0.13486147402268167,0.4210307519479916,lingbot_va/arm_select/arm_select_ep500006_1.mp4
lingbot_va,500007,right,1,1,True,True,right,False,,0.05006146430969238,0.13371355460280832,0.40090103213102185,lingbot_va/arm_select/arm_select_ep500007_1.mp4
lingbot_va,500008,left,1,1,True,True,left,False,,0.05007040500640869,0.13055644277513603,0.3957815440813103,lingbot_va/arm_select/arm_select_ep500008_1.mp4
lingbot_va,500009,right,1,1,True,True,right,False,,0.05007141828536987,0.13291496434770866,0.41657048596486324,lingbot_va/arm_select/arm_select_ep500009_1.mp4
lingbot_va,500010,left,1,1,True,True,left,False,,0.05005091428756714,0.1328269046484058,0.4289771973559769,lingbot_va/arm_select/arm_select_ep500010_1.mp4
lingbot_va,500011,right,1,1,True,True,right,False,,0.050050318241119385,0.13120161528777466,0.38373518334700213,lingbot_va/arm_select/arm_select_ep500011_1.mp4
lingbot_va,500012,left,0,0,False,True,right,True,95,0.06529057025909424,0.3825570227145912,0.1523845486517053,lingbot_va/arm_select/arm_select_ep500012_0.mp4
lingbot_va,500013,right,1,1,True,True,right,False,,0.05004167556762695,0.13425843303411295,0.4049718762734003,lingbot_va/arm_select/arm_select_ep500013_1.mp4
lingbot_va,500014,left,1,1,True,True,left,False,,0.05004078149795532,0.1308192736793049,0.38221217141313046,lingbot_va/arm_select/arm_select_ep500014_1.mp4
lingbot_va,500015,right,1,1,True,True,right,False,,0.05002152919769287,0.13059458734479767,0.4330084689152261,lingbot_va/arm_select/arm_select_ep500015_1.mp4
lingbot_va,500016,left,1,1,True,True,left,False,,0.05004096031188965,0.1319456324754243,0.4207283979817244,lingbot_va/arm_select/arm_select_ep500016_1.mp4
lingbot_va,500017,right,1,1,True,True,right,False,,0.0501057505607605,0.13321022124353132,0.3863963670557192,lingbot_va/arm_select/arm_select_ep500017_1.mp4
lingbot_va,500018,left,1,1,True,True,left,False,,0.05013054609298706,0.13200543790424782,0.4123420288875281,lingbot_va/arm_select/arm_select_ep500018_1.mp4
lingbot_va,500019,right,1,1,True,True,right,False,,0.050050973892211914,0.13180575159930522,0.41468427481493436,lingbot_va/arm_select/arm_select_ep500019_1.mp4
lingbot_va,500020,left,1,1,True,True,left,False,,0.050021350383758545,0.13078283647648914,0.3868919381088983,lingbot_va/arm_select/arm_select_ep500020_1.mp4
lingbot_va,500021,right,1,1,True,True,right,False,,0.050079941749572754,0.13023586125185482,0.41926162124070976,lingbot_va/arm_select/arm_select_ep500021_1.mp4
lingbot_va,500022,left,1,1,True,True,left,False,,0.050109028816223145,0.13250504935703145,0.4356950339081913,lingbot_va/arm_select/arm_select_ep500022_1.mp4
lingbot_va,500023,right,1,1,True,True,right,False,,0.05001276731491089,0.13438457918374153,0.3784005760871767,lingbot_va/arm_select/arm_select_ep500023_1.mp4
