policy,seed,mode,previous_success,success,first_lifted,distractor_lifted_ever,first_distractor_lift_action,target_lift_m,distractor_lift_m,distractor_peak_lift_m,video
dm05,100077,shape:bar,1,1,target,False,,0.050135254859924316,0.0,0.0,dm05/attribute_select/attribute_select_ep100077_1.mp4
dm05,100078,size:big,0,0,distractor,True,79,0.0,-5.960464477539063e-08,0.08897215127944946,dm05/attribute_select/attribute_select_ep100078_0.mp4
dm05,100079,size:small,1,1,target,False,,0.050042033195495605,0.0,0.0,dm05/attribute_select/attribute_select_ep100079_1.mp4
dm05,100080,color:red,1,1,target,False,,0.050050556659698486,0.0,0.0,dm05/attribute_select/attribute_select_ep100080_1.mp4
dm05,100081,color:blue,0,0,distractor,True,78,-5.960464477539063e-08,5.960464477539063e-08,0.09256798028945923,dm05/attribute_select/attribute_select_ep100081_0.mp4
dm05,100082,decal:cat,1,1,target,False,,0.05006295442581177,0.0,0.0,dm05/attribute_select/attribute_select_ep100082_1.mp4
dm05,100083,decal:dog,1,1,target,False,,0.05011540651321411,0.0,0.0,dm05/attribute_select/attribute_select_ep100083_1.mp4
dm05,100084,shape:block,1,1,target,False,,0.05007064342498779,0.0,0.0,dm05/attribute_select/attribute_select_ep100084_1.mp4
dm05,100085,shape:bar,1,1,target,False,,0.05008506774902344,0.0,0.0,dm05/attribute_select/attribute_select_ep100085_1.mp4
dm05,100086,size:big,0,0,distractor,True,77,4.172325134277344e-07,1.1920928955078125e-07,0.08361184597015381,dm05/attribute_select/attribute_select_ep100086_0.mp4
dm05,100087,size:small,1,1,target,False,,0.05005604028701782,0.0,0.0,dm05/attribute_select/attribute_select_ep100087_1.mp4
dm05,100088,color:red,1,1,target,False,,0.050017595291137695,0.0,0.0,dm05/attribute_select/attribute_select_ep100088_1.mp4
dm05,100089,color:blue,0,0,,False,,0.0,-1.7881393432617188e-07,5.960464477539063e-08,dm05/attribute_select/attribute_select_ep100089_0.mp4
dm05,100090,decal:cat,1,1,target,False,,0.05009448528289795,0.0,0.0,dm05/attribute_select/attribute_select_ep100090_1.mp4
dm05,100091,decal:dog,1,0,distractor,True,79,0.059998512268066406,-7.152557373046875e-07,0.08098357915878296,dm05/attribute_select/attribute_select_ep100091_0.mp4
dm05,100092,shape:block,0,0,distractor,True,78,0.0,0.10261756181716919,0.11453557014465332,dm05/attribute_select/attribute_select_ep100092_0.mp4
dm05,100093,shape:bar,1,1,target,False,,0.050018370151519775,0.0,0.0,dm05/attribute_select/attribute_select_ep100093_1.mp4
dm05,100094,size:big,1,0,distractor,True,79,2.980232238769531e-07,-2.384185791015625e-07,0.08501124382019043,dm05/attribute_select/attribute_select_ep100094_0.mp4
dm05,100095,size:small,1,1,target,False,,0.05002802610397339,0.0,0.0,dm05/attribute_select/attribute_select_ep100095_1.mp4
dm05,100096,color:red,1,1,target,False,,0.050045669078826904,0.0,0.0,dm05/attribute_select/attribute_select_ep100096_1.mp4
dm05,100097,color:blue,1,0,distractor,True,78,0.06000161170959473,1.430511474609375e-06,0.09251236915588379,dm05/attribute_select/attribute_select_ep100097_0.mp4
dm05,100098,decal:cat,0,0,distractor,True,79,5.960464477539063e-08,5.960464477539063e-08,0.08812522888183594,dm05/attribute_select/attribute_select_ep100098_0.mp4
dm05,100099,decal:dog,1,1,target,False,,0.05002892017364502,0.0,0.0,dm05/attribute_select/attribute_select_ep100099_1.mp4
dm05,100100,shape:block,1,1,target,False,,0.0500030517578125,0.0,0.0,dm05/attribute_select/attribute_select_ep100100_1.mp4
dm05,100101,shape:bar,1,1,target,False,,0.05005371570587158,0.0,0.0,dm05/attribute_select/attribute_select_ep100101_1.mp4
dm05,100102,size:big,0,0,distractor,True,79,0.0,3.5762786865234375e-07,0.08508801460266113,dm05/attribute_select/attribute_select_ep100102_0.mp4
dm05,100103,size:small,1,1,target,False,,0.05002927780151367,0.0,0.0,dm05/attribute_select/attribute_select_ep100103_1.mp4
dm05,100104,color:red,1,1,target,False,,0.050020456314086914,0.0,0.0,dm05/attribute_select/attribute_select_ep100104_1.mp4
dm05,100105,color:blue,1,0,distractor,True,78,0.06000196933746338,1.7881393432617188e-07,0.07438117265701294,dm05/attribute_select/attribute_select_ep100105_0.mp4
dm05,100106,decal:cat,0,0,distractor,True,78,0.0,0.1871485710144043,0.20549488067626953,dm05/attribute_select/attribute_select_ep100106_0.mp4
dm05,100107,decal:dog,1,1,target,False,,0.050073981285095215,0.0,0.0,dm05/attribute_select/attribute_select_ep100107_1.mp4
dm05,100108,shape:block,1,1,target,False,,0.05003559589385986,0.0,0.0,dm05/attribute_select/attribute_select_ep100108_1.mp4
dm05,100109,shape:bar,1,1,target,False,,0.05012369155883789,0.0,0.0,dm05/attribute_select/attribute_select_ep100109_1.mp4
dm05,100110,size:big,0,0,distractor,True,78,0.0,0.0,0.08914172649383545,dm05/attribute_select/attribute_select_ep100110_0.mp4
dm05,100111,size:small,1,1,target,False,,0.050065696239471436,0.0,0.0,dm05/attribute_select/attribute_select_ep100111_1.mp4
dm05,100112,color:red,1,1,target,False,,0.05004596710205078,0.0,0.0,dm05/attribute_select/attribute_select_ep100112_1.mp4
dm05,100113,color:blue,1,0,distractor,True,78,0.05999767780303955,2.980232238769531e-07,0.09462767839431763,dm05/attribute_select/attribute_select_ep100113_0.mp4
dm05,100114,decal:cat,0,0,distractor,True,79,0.0,0.18410760164260864,0.1889476776123047,dm05/attribute_select/attribute_select_ep100114_0.mp4
dm05,100115,decal:dog,1,0,distractor,True,80,-1.7881393432617188e-07,5.960464477539063e-08,0.09930366277694702,dm05/attribute_select/attribute_select_ep100115_0.mp4
dm05,100116,shape:block,0,0,,False,,3.5762786865234375e-07,-5.960464477539063e-08,0.0,dm05/attribute_select/attribute_select_ep100116_0.mp4
dm05,100117,shape:bar,1,1,target,False,,0.050118982791900635,0.0,0.0,dm05/attribute_select/attribute_select_ep100117_1.mp4
dm05,100118,size:big,0,0,distractor,True,78,0.0,-2.980232238769531e-07,0.08632570505142212,dm05/attribute_select/attribute_select_ep100118_0.mp4
dm05,100119,size:small,1,1,target,False,,0.05006009340286255,0.0,0.0,dm05/attribute_select/attribute_select_ep100119_1.mp4
dm05,100120,color:red,1,1,target,False,,0.050140202045440674,0.0,0.0,dm05/attribute_select/attribute_select_ep100120_1.mp4
dm05,100121,color:blue,1,0,distractor,True,78,0.07057726383209229,-5.960464477539063e-08,0.08993726968765259,dm05/attribute_select/attribute_select_ep100121_0.mp4
dm05,100122,decal:cat,1,1,target,False,,0.05004650354385376,0.0,0.0,dm05/attribute_select/attribute_select_ep100122_1.mp4
dm05,100123,decal:dog,1,0,distractor,True,79,0.05999833345413208,-1.7881393432617188e-07,0.08780664205551147,dm05/attribute_select/attribute_select_ep100123_0.mp4
dm05,100124,shape:block,1,1,target,False,,0.050062596797943115,0.0,0.0,dm05/attribute_select/attribute_select_ep100124_1.mp4
dm05,100125,shape:bar,1,1,target,False,,0.05011552572250366,0.0,0.0,dm05/attribute_select/attribute_select_ep100125_1.mp4
dm05,100126,size:big,0,0,distractor,True,78,0.0,-4.172325134277344e-07,0.08852779865264893,dm05/attribute_select/attribute_select_ep100126_0.mp4
dm05,100127,size:small,1,1,target,False,,0.05002838373184204,0.0,0.0,dm05/attribute_select/attribute_select_ep100127_1.mp4
dm05,100128,color:red,1,1,target,False,,0.050064027309417725,0.0,0.0,dm05/attribute_select/attribute_select_ep100128_1.mp4
dm05,100129,color:blue,1,0,distractor,True,79,1.7881393432617188e-07,-2.384185791015625e-07,0.0911870002746582,dm05/attribute_select/attribute_select_ep100129_0.mp4
dm05,100130,decal:cat,0,0,distractor,True,77,0.0,0.1860412359237671,0.18971318006515503,dm05/attribute_select/attribute_select_ep100130_0.mp4
dm05,100131,decal:dog,0,0,distractor,True,79,-1.7881393432617188e-07,0.06775456666946411,0.08331769704818726,dm05/attribute_select/attribute_select_ep100131_0.mp4
dm05,100132,shape:block,0,0,distractor,True,79,0.0,0.18865710496902466,0.1965542435646057,dm05/attribute_select/attribute_select_ep100132_0.mp4
dm05,100133,shape:bar,1,1,target,False,,0.05006986856460571,0.0,0.0,dm05/attribute_select/attribute_select_ep100133_1.mp4
dm05,100134,size:big,0,0,distractor,True,79,0.0,-4.172325134277344e-07,0.087554931640625,dm05/attribute_select/attribute_select_ep100134_0.mp4
dm05,100135,size:small,1,1,target,False,,0.05004364252090454,0.0,0.0,dm05/attribute_select/attribute_select_ep100135_1.mp4
dm05,100144,color:red,1,1,target,False,,0.050178706645965576,0.0,0.0,dm05/attribute_select/attribute_select_ep100144_1.mp4
dm05,100145,color:blue,1,0,distractor,True,78,0.05999785661697388,-4.172325134277344e-07,0.0941893458366394,dm05/attribute_select/attribute_select_ep100145_0.mp4
dm05,100146,decal:cat,1,1,target,False,,0.05005878210067749,0.0,0.0,dm05/attribute_select/attribute_select_ep100146_1.mp4
